"measure.sid","measure.type","geographical.area","goods.nomenclature.item.id","validity.start.date","validity.end.date","update.type"
"3673369","115","1011","3904900010","2019-01-01","","2"
"3673370","115","1011","3905190010","2019-01-01","","2"
"3673371","115","1011","3905290010","2019-01-01","","2"
"3673373","115","1011","3905910010","2019-01-01","","2"
"3673374","115","1011","3905999010","2019-01-01","","2"
"3673379","115","1011","3911100010","2019-01-01","","2"
"3673380","115","1011","3911909910","2019-01-01","","2"
"3673381","115","1011","3916100010","2019-01-01","","2"
"3673382","115","1011","3916200010","2019-01-01","","2"
"3673383","115","1011","3916905010","2019-01-01","","2"
"3673384","115","1011","3917211010","2019-01-01","","2"
"3673385","115","1011","3917219020","2019-01-01","","2"
"3673386","115","1011","3917221010","2019-01-01","","2"
"3673387","115","1011","3917229020","2019-01-01","","2"
"3673388","115","1011","3917231010","2019-01-01","","2"
"3673389","115","1011","3917239020","2019-01-01","","2"
"3673390","115","1011","3917290011","2019-01-01","","2"
"3673391","115","1011","3917310020","2019-01-01","","2"
"3673392","115","1011","3917320010","2019-01-01","","2"
"3673393","115","1011","3917390091","2019-01-01","","2"
"3673394","115","1011","3918101010","2019-01-01","","2"
"3673395","115","1011","3918109010","2019-01-01","","2"
"3673396","115","1011","3918900010","2019-01-01","","2"
"3673397","115","1011","3919108010","2019-01-01","","2"
"3673399","115","1011","3919908010","2019-01-01","","2"
"3673401","115","1011","3920102410","2019-01-01","","2"
"3673402","115","1011","3920102505","2019-01-01","","2"
"3673403","115","1011","3920102810","2019-01-01","","2"
"3673404","115","1011","3920104010","2019-01-01","","2"
"3673405","115","1011","3920108910","2019-01-01","","2"
"3673407","115","1011","3920202110","2019-01-01","","2"
"3673408","115","1011","3920202910","2019-01-01","","2"
"3673409","115","1011","3920208010","2019-01-01","","2"
"3673410","115","1011","3920300010","2019-01-01","","2"
"3673411","115","1011","3920431010","2019-01-01","","2"
"3673413","115","1011","3920439010","2019-01-01","","2"
"3673414","115","1011","3920491010","2019-01-01","","2"
"3673416","115","1011","3920499010","2019-01-01","","2"
"3673418","115","1011","3920910010","2019-01-01","","2"
"3673419","115","1011","3920995910","2019-01-01","","2"
"3673421","115","1011","3921110010","2019-01-01","","2"
"3673422","115","1011","3921120020","2019-01-01","","2"
"3673423","115","1011","3921190010","2019-01-01","","2"
"3673428","115","1011","3921906010","2019-01-01","","2"
"3673458","115","1011","7019310010","2019-01-01","","2"
"3673459","115","1011","7019320010","2019-01-01","","2"
"3673460","115","1011","7019390020","2019-01-01","","2"
"3673462","115","1011","7307210010","2019-01-01","","2"
"3673463","115","1011","7307229010","2019-01-01","","2"
"3673464","115","1011","7307231015","2019-01-01","","2"
"3673465","115","1011","7307231080","2019-01-01","","2"
"3673466","115","1011","7307239015","2019-01-01","","2"
"3673467","115","1011","7307239080","2019-01-01","","2"
"3673468","115","1011","7307291010","2019-01-01","","2"
"3673469","115","1011","7307298010","2019-01-01","","2"
"3673470","115","1011","7307910010","2019-01-01","","2"
"3673471","115","1011","7307929010","2019-01-01","","2"
"3673472","115","1011","7307931111","2019-01-01","","2"
"3673473","115","1011","7307931119","2019-01-01","","2"
"3673474","115","1011","7307931911","2019-01-01","","2"
"3673475","115","1011","7307931919","2019-01-01","","2"
"3673476","115","1011","7307939110","2019-01-01","","2"
"3673477","115","1011","7307939910","2019-01-01","","2"
"3673478","115","1011","7307991010","2019-01-01","","2"
"3673479","115","1011","7307998011","2019-01-01","","2"
"3673480","115","1011","7307998019","2019-01-01","","2"
"3673481","115","1011","7307998020","2019-01-01","","2"
"3673482","115","1011","7311001110","2019-01-01","","2"
"3673483","115","1011","7311001310","2019-01-01","","2"
"3673484","115","1011","7311001910","2019-01-01","","2"
"3673485","115","1011","7311003010","2019-01-01","","2"
"3673487","115","1011","7318121010","2019-01-01","","2"
"3673488","115","1011","7318129010","2019-01-01","","2"
"3673489","115","1011","7318130010","2019-01-01","","2"
"3673490","115","1011","7318141010","2019-01-01","","2"
"3673491","115","1011","7318149110","2019-01-01","","2"
"3673492","115","1011","7318149910","2019-01-01","","2"
"3673493","115","1011","7318153510","2019-01-01","","2"
"3673494","115","1011","7318154210","2019-01-01","","2"
"3673495","115","1011","7318154810","2019-01-01","","2"
"3673496","115","1011","7318155210","2019-01-01","","2"
"3673497","115","1011","7318155810","2019-01-01","","2"
"3673498","115","1011","7318156210","2019-01-01","","2"
"3673499","115","1011","7318156810","2019-01-01","","2"
"3673500","115","1011","7318157510","2019-01-01","","2"
"3673501","115","1011","7318158210","2019-01-01","","2"
"3673502","115","1011","7318158810","2019-01-01","","2"
"3673503","115","1011","7318159510","2019-01-01","","2"
"3673504","115","1011","7318163110","2019-01-01","","2"
"3673505","115","1011","7318163910","2019-01-01","","2"
"3673506","115","1011","7318164010","2019-01-01","","2"
"3673507","115","1011","7318166010","2019-01-01","","2"
"3673508","115","1011","7318169210","2019-01-01","","2"
"3673509","115","1011","7318169920","2019-01-01","","2"
"3673510","115","1011","7318190020","2019-01-01","","2"
"3673512","115","1011","7318210021","2019-01-01","","2"
"3673513","115","1011","7318210031","2019-01-01","","2"
"3673514","115","1011","7318220021","2019-01-01","","2"
"3673515","115","1011","7318220031","2019-01-01","","2"
"3673516","115","1011","7318230020","2019-01-01","","2"
"3673517","115","1011","7318240020","2019-01-01","","2"
"3673518","115","1011","7318290020","2019-01-01","","2"
"3673519","115","1011","7320101110","2019-01-01","","2"
"3673520","115","1011","7320101910","2019-01-01","","2"
"3673521","115","1011","7320109010","2019-01-01","","2"
"3673522","115","1011","7320202010","2019-01-01","","2"
"3673523","115","1011","7320208110","2019-01-01","","2"
"3673524","115","1011","7320208510","2019-01-01","","2"
"3673525","115","1011","7320208910","2019-01-01","","2"
"3673526","115","1011","7320901010","2019-01-01","","2"
"3673528","115","1011","7320903010","2019-01-01","","2"
"3673529","115","1011","7320909010","2019-01-01","","2"
"3673530","115","1011","7325999010","2019-01-01","","2"
"3673531","115","1011","7325999020","2019-01-01","","2"
"3673532","115","1011","7325999030","2019-01-01","","2"
"3673533","115","1011","7326909210","2019-01-01","","2"
"3673534","115","1011","7326909220","2019-01-01","","2"
"3673535","115","1011","7326909230","2019-01-01","","2"
"3673536","115","1011","7326909410","2019-01-01","","2"
"3673537","115","1011","7326909420","2019-01-01","","2"
"3673538","115","1011","7326909430","2019-01-01","","2"
"3673539","115","1011","7326909610","2019-01-01","","2"
