Commodity,Regulation ID,Geographical area,Measure type,Ad valorem,Specific,Ceiling,Minimum,Specific 2,Date from,Date to
0101299000,P1900400,NO,142,0.00,,,,,,
0208907000,P1900400,NO,142,0.00,,,,,,
0301190000,P1900400,NO,142,2.20,,,,,,
0301911000,P1900400,NO,142,2.40,,,,,,
0301919000,P1900400,NO,142,3.60,,,,,,
0301930000,P1900400,NO,142,2.40,,,,,,
0301940000,P1900400,NO,142,4.80,,,,,,
0301950000,P1900400,NO,142,4.80,,,,,,
0301991700,P1900400,NO,142,2.40,,,,,,
0301998500,P1900400,NO,142,4.80,,,,,,
0302111000,P1900400,NO,142,2.40,,,,,,
0302112000,P1900400,NO,142,3.60,,,,,,
0302118000,P1900400,NO,142,3.60,,,,,,
0302190000,P1900400,NO,142,2.40,,,,,,
0302211000,P1900400,NO,142,0.00,,,,,,
0302213000,P1900400,NO,142,0.00,,,,,,
0302219000,P1900400,NO,142,4.50,,,,,,
0302220000,P1900400,NO,142,2.20,,,,,,
0302230000,P1900400,NO,142,4.50,,,,,,
0302240000,P1900400,NO,142,4.50,,,,,,
0302290000,P1900400,NO,142,4.50,,,,,,
0302319000,P1900400,NO,142,6.60,,,,,,
0302329000,P1900400,NO,142,6.60,,,,,,
0302339000,P1900400,NO,142,6.60,,,,,,
0302349000,P1900400,NO,142,6.60,,,,,,
0302351900,P1900400,NO,142,6.60,,,,,,
0302359900,P1900400,NO,142,6.60,,,,,,
0302369000,P1900400,NO,142,6.60,,,,,,
0302398000,P1900400,NO,142,6.60,,,,,,
0302420000,P1900400,NO,142,4.50,,,,,,
0302431000,P1900400,NO,142,6.90,,,,,,
0302433000,P1900400,NO,142,4.50,,,,,,
0302439000,P1900400,NO,142,3.90,,,,,2020-01-01,2020-02-14
0302439000,P1900400,NO,142,3.90,,,,,2019-06-16,2019-12-31
0302450000,P1900400,NO,142,4.50,,,,,,
0302460000,P1900400,NO,142,4.50,,,,,,
0302470000,P1900400,NO,142,4.50,,,,,,
0302491900,P1900400,NO,142,6.60,,,,,,
0302499000,P1900400,NO,142,4.50,,,,,,
0302510000,P1900400,NO,142,0.00,,,,,,
0302520000,P1900400,NO,142,0.00,,,,,,
0302530000,P1900400,NO,142,0.00,,,,,,
0302541100,P1900400,NO,142,4.50,,,,,,
0302541500,P1900400,NO,142,4.50,,,,,,
0302541900,P1900400,NO,142,4.50,,,,,,
0302549000,P1900400,NO,142,4.50,,,,,,
0302550000,P1900400,NO,142,2.20,,,,,,
0302560000,P1900400,NO,142,2.20,,,,,,
0302591000,P1900400,NO,142,0.00,,,,,,
0302592000,P1900400,NO,142,2.20,,,,,,
0302593000,P1900400,NO,142,2.20,,,,,,
0302594000,P1900400,NO,142,2.20,,,,,,
0302599000,P1900400,NO,142,4.50,,,,,,
0302710000,P1900400,NO,142,2.40,,,,,,
0302720000,P1900400,NO,142,2.40,,,,,,
0302730000,P1900400,NO,142,2.40,,,,,,
0302790000,P1900400,NO,142,2.40,,,,,,
0302811500,P1900400,NO,142,1.80,,,,,,
0302813000,P1900400,NO,142,2.40,,,,,,
0302814000,P1900400,NO,142,2.40,,,,,,
0302818000,P1900400,NO,142,2.40,,,,,,
0302820000,P1900400,NO,142,4.50,,,,,,
0302830000,P1900400,NO,142,4.50,,,,,,
0302841000,P1900400,NO,142,4.50,,,,,,
0302849000,P1900400,NO,142,4.50,,,,,,
0302851000,P1900400,NO,142,4.50,,,,,,
0302853000,P1900400,NO,142,4.50,,,,,,
0302859000,P1900400,NO,142,4.50,,,,,,
0302891000,P1900400,NO,142,2.40,,,,,,
0302892900,P1900400,NO,142,6.60,,,,,,
0302893100,P1900400,NO,142,2.20,,,,,,
0302893900,P1900400,NO,142,2.20,,,,,,
0302894000,P1900400,NO,142,4.50,,,,,,
0302895000,P1900400,NO,142,4.50,,,,,,
0302896000,P1900400,NO,142,2.20,,,,,,
0302899000,P1900400,NO,142,4.50,,,,,,
0302910030,P1900400,NO,142,3.00,,,,,,
0302910040,P1900400,NO,142,3.00,,,,,,
0302910050,P1900400,NO,142,3.00,,,,,,
0302910095,P1900400,NO,142,3.00,,,,,,
0302910097,P1900400,NO,142,3.00,,,,,,
0302920010,P1900400,NO,142,1.80,,,,,,
0302920020,P1900400,NO,142,1.80,,,,,,
0302920090,P1900400,NO,142,2.40,,,,,,
0302990011,P1900400,NO,142,2.40,,,,,,
0302990019,P1900400,NO,142,3.00,,,,,,
0302990045,P1900400,NO,142,2.40,,,,,,
0302990050,P1900400,NO,142,2.20,,,,,,
0302990060,P1900400,NO,142,3.00,,,,,,
0302990065,P1900400,NO,142,0.00,,,,,,
0302990071,P1900400,NO,142,3.00,,,,,,
0302990079,P1900400,NO,142,0.00,,,,,,
0302990080,P1900400,NO,142,0.00,,,,,,
0302990085,P1900400,NO,142,0.00,,,,,,
0302990090,P1900400,NO,142,3.00,,,,,,
0303141000,P1900400,NO,142,2.70,,,,,,
0303142000,P1900400,NO,142,3.60,,,,,,
