"goods_nomenclature_sid";"goods_nomenclature_item_id";"producline_suffix";"validity_start_date";"leaf";"number_indents"
27623;"0100000000";"80";"1971-12-31 00:00:00";"0";0
27624;"0101000000";"80";"1972-01-01 00:00:00";"0";0
93797;"0101210000";"10";"2012-01-01 00:00:00";"0";1
93796;"0101210000";"80";"2012-01-01 00:00:00";"1";2
93798;"0101290000";"80";"2012-01-01 00:00:00";"0";2
93799;"0101291000";"80";"2012-01-01 00:00:00";"1";3
93800;"0101299000";"80";"2012-01-01 00:00:00";"1";3
93801;"0101300000";"80";"2012-01-01 00:00:00";"1";1
72763;"0101900000";"80";"2002-01-01 00:00:00";"1";1
27633;"0102000000";"80";"1972-01-01 00:00:00";"0";0
94053;"0102210000";"10";"2012-01-01 00:00:00";"0";1
94047;"0102210000";"80";"2012-01-01 00:00:00";"0";2
94048;"0102211000";"80";"2012-01-01 00:00:00";"1";3
94049;"0102213000";"80";"2012-01-01 00:00:00";"1";3
94050;"0102219000";"80";"2012-01-01 00:00:00";"1";3
94056;"0102290000";"80";"2012-01-01 00:00:00";"0";2
96756;"0102290500";"80";"2013-01-01 00:00:00";"1";3
96757;"0102291000";"10";"2013-01-01 00:00:00";"0";3
94057;"0102291000";"80";"2012-01-01 00:00:00";"0";4
94058;"0102291010";"80";"2012-01-01 00:00:00";"1";5
94059;"0102291020";"80";"2012-01-01 00:00:00";"1";5
94060;"0102291030";"80";"2012-01-01 00:00:00";"1";5
94061;"0102291040";"80";"2012-01-01 00:00:00";"1";5
94062;"0102291050";"80";"2012-01-01 00:00:00";"1";5
94063;"0102291090";"80";"2012-01-01 00:00:00";"1";5
94064;"0102292100";"10";"2012-01-01 00:00:00";"0";4
94065;"0102292100";"80";"2012-01-01 00:00:00";"1";5
94066;"0102292900";"80";"2012-01-01 00:00:00";"0";5
94067;"0102292910";"80";"2012-01-01 00:00:00";"1";6
94068;"0102292920";"80";"2012-01-01 00:00:00";"1";6
94069;"0102292930";"80";"2012-01-01 00:00:00";"1";6
94070;"0102292940";"80";"2012-01-01 00:00:00";"1";6
94071;"0102292950";"80";"2012-01-01 00:00:00";"1";6
94072;"0102292990";"80";"2012-01-01 00:00:00";"1";6
94073;"0102294100";"10";"2012-01-01 00:00:00";"0";4
94074;"0102294100";"80";"2012-01-01 00:00:00";"1";5
94075;"0102294900";"80";"2012-01-01 00:00:00";"0";5
94076;"0102294910";"80";"2012-01-01 00:00:00";"1";6
94077;"0102294920";"80";"2012-01-01 00:00:00";"1";6
94078;"0102294930";"80";"2012-01-01 00:00:00";"1";6
94079;"0102294940";"80";"2012-01-01 00:00:00";"1";6
94080;"0102294950";"80";"2012-01-01 00:00:00";"1";6
94081;"0102294990";"80";"2012-01-01 00:00:00";"1";6
94082;"0102295100";"10";"2012-01-01 00:00:00";"0";4
94083;"0102295100";"20";"2012-01-01 00:00:00";"0";5
94084;"0102295100";"80";"2012-01-01 00:00:00";"0";6
94085;"0102295110";"80";"2012-01-01 00:00:00";"1";7
94086;"0102295190";"80";"2012-01-01 00:00:00";"1";7
94087;"0102295900";"80";"2012-01-01 00:00:00";"0";6
94088;"0102295911";"10";"2012-01-01 00:00:00";"0";7
94089;"0102295911";"80";"2012-01-01 00:00:00";"1";8
94090;"0102295919";"80";"2012-01-01 00:00:00";"1";8
94091;"0102295921";"10";"2012-01-01 00:00:00";"0";7
94092;"0102295921";"80";"2012-01-01 00:00:00";"1";8
94093;"0102295929";"80";"2012-01-01 00:00:00";"1";8
94094;"0102295931";"10";"2012-01-01 00:00:00";"0";7
94095;"0102295931";"80";"2012-01-01 00:00:00";"1";8
94096;"0102295939";"80";"2012-01-01 00:00:00";"1";8
94097;"0102295991";"10";"2012-01-01 00:00:00";"0";7
94098;"0102295991";"80";"2012-01-01 00:00:00";"1";8
94099;"0102295999";"80";"2012-01-01 00:00:00";"1";8
94100;"0102296100";"10";"2012-01-01 00:00:00";"0";5
94101;"0102296100";"80";"2012-01-01 00:00:00";"1";6
94102;"0102296900";"80";"2012-01-01 00:00:00";"0";6
94103;"0102296910";"80";"2012-01-01 00:00:00";"1";7
94104;"0102296920";"80";"2012-01-01 00:00:00";"1";7
94105;"0102296930";"80";"2012-01-01 00:00:00";"1";7
94106;"0102296990";"80";"2012-01-01 00:00:00";"1";7
94118;"0102299100";"10";"2012-01-01 00:00:00";"0";5
94119;"0102299100";"80";"2012-01-01 00:00:00";"0";6
