measure_sid,goods_nomenclature_item_id,duty_expression_id,duty_amount,monetary_unit_code,measurement_unit_code,measurement_unit_qualifier_code
5139426,0101210000,01,0,,,
5139428,0101291000,01,0,,,
5139429,0101299000,01,0,,,
5139430,0101300000,01,0,,,
5139431,0101900000,01,0,,,
5139435,0102211000,01,0,,,
5139436,0102213000,01,0,,,
5139437,0102219000,01,0,,,
5139439,0102290500,01,0,,,
5139442,0102291010,01,0,,,
5139443,0102291020,01,0,,,
5139444,0102291030,01,0,,,
5139445,0102291040,01,0,,,
5139446,0102291050,01,0,,,
5139447,0102291090,01,0,,,
5139449,0102292100,01,0,,,
5139451,0102292910,01,0,,,
5139452,0102292920,01,0,,,
5139453,0102292930,01,0,,,
5139454,0102292940,01,0,,,
5139455,0102292950,01,0,,,
5139456,0102292990,01,0,,,
5139458,0102294100,01,0,,,
5139460,0102294910,01,0,,,
5139461,0102294920,01,0,,,
5139462,0102294930,01,0,,,
5139463,0102294940,01,0,,,
5139464,0102294950,01,0,,,
5139465,0102294990,01,0,,,
5139469,0102295110,01,0,,,
5139470,0102295190,01,0,,,
5139473,0102295911,01,0,,,
5139474,0102295919,01,0,,,
5139476,0102295921,01,0,,,
5139477,0102295929,01,0,,,
5139479,0102295931,01,0,,,
5139480,0102295939,01,0,,,
5139482,0102295991,01,0,,,
5139483,0102295999,01,0,,,
5139485,0102296100,01,0,,,
5139487,0102296910,01,0,,,
5139488,0102296920,01,0,,,
5139489,0102296930,01,0,,,
5139490,0102296990,01,0,,,
5139493,0102299110,01,0,,,
5139494,0102299190,01,0,,,
5139497,0102299921,01,0,,,
5139498,0102299929,01,0,,,
5139500,0102299991,01,0,,,
5139501,0102299999,01,0,,,
5139503,0102310000,01,0,,,
5139506,0102391010,01,0,,,
5139507,0102391090,01,0,,,
5139508,0102399000,01,0,,,
5139510,0102902000,01,0,,,
5139513,0102909110,01,0,,,
5139514,0102909190,01,0,,,
5139515,0102909900,01,0,,,
5139517,0103100000,01,0,,,
5139520,0103911000,01,0,,,
5139521,0103919000,01,0,,,
5139524,0103921100,01,0,,,
5139525,0103921900,01,0,,,
5139526,0103929000,01,0,,,
5139529,0104101000,01,0,,,
5139531,0104103000,01,0,,,
5139532,0104108000,01,0,,,
5139534,0104201000,01,0,,,
5139535,0104209000,01,0,,,
5139540,0105111100,01,0,,,
5139541,0105111900,01,0,,,
5139543,0105119100,01,0,,,
5139544,0105119900,01,0,,,
5139545,0105120000,01,0,,,
5139546,0105130000,01,0,,,
5139547,0105140000,01,0,,,
5139548,0105150000,01,0,,,
5139550,0105940000,01,0,,,
5139552,0105991000,01,0,,,
5139553,0105992000,01,0,,,
5139554,0105993000,01,0,,,
5139555,0105995000,01,0,,,
5139558,0106110000,01,0,,,
5139559,0106120000,01,0,,,
5139560,0106130000,01,0,,,
5139562,0106141000,01,0,,,
5139563,0106149000,01,0,,,
5139564,0106190000,01,0,,,
5139565,0106200000,01,0,,,
5139567,0106310000,01,0,,,
5139568,0106320000,01,0,,,
5139569,0106330000,01,0,,,
5139571,0106391000,01,0,,,
5139572,0106398000,01,0,,,
5139574,0106410000,01,0,,,
5139575,0106490000,01,0,,,
5139576,0106900000,01,0,,,
5139581,0201100021,01,6.8,,,
5139581,0201100021,04,93.3,EUR,DTN,
5139582,0201100029,01,6.8,,,
5139582,0201100029,04,93.3,EUR,DTN,
5139585,0201100092,01,6.8,,,
5139585,0201100092,04,93.3,EUR,DTN,
5139586,0201100094,01,6.8,,,
5139586,0201100094,04,93.3,EUR,DTN,
5139588,0201100097,01,6.8,,,
5139588,0201100097,04,93.3,EUR,DTN,
5139589,0201100098,01,6.8,,,
5139589,0201100098,04,93.3,EUR,DTN,
5139593,0201202021,01,6.8,,,
5139593,0201202021,04,93.3,EUR,DTN,
5139594,0201202029,01,6.8,,,
5139594,0201202029,04,93.3,EUR,DTN,
5139597,0201202092,01,6.8,,,
5139597,0201202092,04,93.3,EUR,DTN,
5139598,0201202094,01,6.8,,,
5139598,0201202094,04,93.3,EUR,DTN,
5139600,0201202097,01,6.8,,,
5139600,0201202097,04,93.3,EUR,DTN,
5139601,0201202098,01,6.8,,,
5139601,0201202098,04,93.3,EUR,DTN,
5139604,0201203021,01,6.8,,,
5139604,0201203021,04,74.6,EUR,DTN,
5139605,0201203029,01,6.8,,,
5139605,0201203029,04,74.6,EUR,DTN,
5139608,0201203092,01,6.8,,,
5139608,0201203092,04,74.6,EUR,DTN,
5139609,0201203094,01,6.8,,,
5139609,0201203094,04,74.6,EUR,DTN,
5139611,0201203097,01,6.8,,,
5139611,0201203097,04,74.6,EUR,DTN,
5139612,0201203098,01,6.8,,,
5139612,0201203098,04,74.6,EUR,DTN,
5139615,0201205021,01,6.8,,,
5139615,0201205021,04,112,EUR,DTN,
5139616,0201205029,01,6.8,,,
