measure_sid,measure_type_id,geographical_area_id,goods_nomenclature_item_id,validity_start_date,validity_end_date,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,ordernumber,additional_code_type_id,additional_code_id,additional_code_sid,reduction_indicator
5139426,103,1011,0101210000,13/04/2019,,1,M1900010,,,f,400,93796,,,,,
5139428,105,1011,0101291000,13/04/2019,,1,M1900010,,,f,400,93799,,,,,
5139429,103,1011,0101299000,13/04/2019,,1,M1900010,,,f,400,93800,,,,,
5139430,103,1011,0101300000,13/04/2019,,1,M1900010,,,f,400,93801,,,,,
5139431,103,1011,0101900000,13/04/2019,,1,M1900010,,,f,400,72763,,,,,
5139435,103,1011,0102211000,13/04/2019,,1,M1900010,,,f,400,94048,,,,,
5139436,103,1011,0102213000,13/04/2019,,1,M1900010,,,f,400,94049,,,,,
5139437,103,1011,0102219000,13/04/2019,,1,M1900010,,,f,400,94050,,,,,
5139439,103,1011,0102290500,13/04/2019,,1,M1900010,,,f,400,96756,,,,,
5139442,103,1011,0102291010,13/04/2019,,1,M1900010,,,f,400,94058,,,,,
5139443,103,1011,0102291020,13/04/2019,,1,M1900010,,,f,400,94059,,,,,
5139444,103,1011,0102291030,13/04/2019,,1,M1900010,,,f,400,94060,,,,,
5139445,103,1011,0102291040,13/04/2019,,1,M1900010,,,f,400,94061,,,,,
5139446,103,1011,0102291050,13/04/2019,,1,M1900010,,,f,400,94062,,,,,
5139447,103,1011,0102291090,13/04/2019,,1,M1900010,,,f,400,94063,,,,,
5139449,103,1011,0102292100,13/04/2019,,1,M1900010,,,f,400,94065,,,,,
5139451,103,1011,0102292910,13/04/2019,,1,M1900010,,,f,400,94067,,,,,
5139452,103,1011,0102292920,13/04/2019,,1,M1900010,,,f,400,94068,,,,,
5139453,103,1011,0102292930,13/04/2019,,1,M1900010,,,f,400,94069,,,,,
5139454,103,1011,0102292940,13/04/2019,,1,M1900010,,,f,400,94070,,,,,
5139455,103,1011,0102292950,13/04/2019,,1,M1900010,,,f,400,94071,,,,,
5139456,103,1011,0102292990,13/04/2019,,1,M1900010,,,f,400,94072,,,,,
5139458,103,1011,0102294100,13/04/2019,,1,M1900010,,,f,400,94074,,,,,
5139460,103,1011,0102294910,13/04/2019,,1,M1900010,,,f,400,94076,,,,,
5139461,103,1011,0102294920,13/04/2019,,1,M1900010,,,f,400,94077,,,,,
5139462,103,1011,0102294930,13/04/2019,,1,M1900010,,,f,400,94078,,,,,
5139463,103,1011,0102294940,13/04/2019,,1,M1900010,,,f,400,94079,,,,,
5139464,103,1011,0102294950,13/04/2019,,1,M1900010,,,f,400,94080,,,,,
5139465,103,1011,0102294990,13/04/2019,,1,M1900010,,,f,400,94081,,,,,
5139469,103,1011,0102295110,13/04/2019,,1,M1900010,,,f,400,94085,,,,,
5139470,103,1011,0102295190,13/04/2019,,1,M1900010,,,f,400,94086,,,,,
5139473,103,1011,0102295911,13/04/2019,,1,M1900010,,,f,400,94089,,,,,
5139474,103,1011,0102295919,13/04/2019,,1,M1900010,,,f,400,94090,,,,,
5139476,103,1011,0102295921,13/04/2019,,1,M1900010,,,f,400,94092,,,,,
5139477,103,1011,0102295929,13/04/2019,,1,M1900010,,,f,400,94093,,,,,
5139479,103,1011,0102295931,13/04/2019,,1,M1900010,,,f,400,94095,,,,,
5139480,103,1011,0102295939,13/04/2019,,1,M1900010,,,f,400,94096,,,,,
5139482,103,1011,0102295991,13/04/2019,,1,M1900010,,,f,400,94098,,,,,
5139483,103,1011,0102295999,13/04/2019,,1,M1900010,,,f,400,94099,,,,,
5139485,103,1011,0102296100,13/04/2019,,1,M1900010,,,f,400,94101,,,,,
5139487,103,1011,0102296910,13/04/2019,,1,M1900010,,,f,400,94103,,,,,
