Commodity,Ad Valorem,Specific,Min
0201100000,,12.8 % + 176.8 EUR/100 kg,
0201202000,,12.8 % + 176.8 EUR/100 kg,
0201203000,,12.8 % + 141.4 EUR/100 kg,
0201205000,,12.8 % + 212.2 EUR/100 kg,
0201209000,,12.8 % + 265.2 EUR/100 kg,
0201300000,,12.8 % + 303.4 EUR/100 kg,
0202100000,,12.8 % + 176.8 EUR/100 kg,
0202201000,,12.8 % + 176.8 EUR/100 kg,
0202203000,,12.8 % + 141.4 EUR/100 kg,
0202205000,,12.8 % + 221.1 EUR/100 kg,
0202209000,,12.8 % + 265.3 EUR/100 kg,
0202301000,,12.8 % + 221.1 EUR/100 kg,
0202305000,,12.8 % + 221.1 EUR/100 kg,
0202309000,,12.8 % + 304.1 EUR/100 kg,
0204100000,,12.8 % + 171.3 EUR/100 kg,
0204210000,,12.8 % + 171.3 EUR/100 kg,
0204221000,,12.8 % + 119.9 EUR/100 kg,
0204223000,,12.8 % + 188.5 EUR/100 kg,
0204225000,,12.8 % + 222.7 EUR/100 kg,
0204229000,,12.8 % + 222.7 EUR/100 kg,
0204230000,,12.8 % + 311.8 EUR/100 kg,
0204300000,,12.8 % + 128.8 EUR/100 kg,
0204410000,,12.8 % + 128.8 EUR/100 kg,
0204421000,,12.8 % + 90.2 EUR/100 kg,
0204423000,,12.8 % + 141.7 EUR/100 kg,
0204425000,,12.8 % + 167.5 EUR/100 kg,
0204429000,,12.8 % + 167.5 EUR/100 kg,
0204431000,,12.8 % + 234.5 EUR/100 kg,
0204439000,,12.8 % + 234.5 EUR/100 kg,
0204501100,,12.8 % + 171.3 EUR/100 kg,
0204501300,,12.8 % + 119.9 EUR/100 kg,
0204501500,,12.8 % + 188.5 EUR/100 kg,
0204501900,,12.8 % + 222.7 EUR/100 kg,
0204503100,,12.8 % + 222.7 EUR/100 kg,
0204503900,,12.8 % + 311.8 EUR/100 kg,
0204505100,,12.8 % + 128.8 EUR/100 kg,
0204505300,,12.8 % + 90.2 EUR/100 kg,
0204505500,,12.8 % + 141.7 EUR/100 kg,
0204505900,,12.8 % + 167.5 EUR/100 kg,
0204507100,,12.8 % + 167.5 EUR/100 kg,
0204507900,,12.8 % + 234.5 EUR/100 kg,
0206109500,,12.8 % + 303.4 EUR/100 kg,
0206299100,,12.8 % + 304.1 EUR/100 kg,
0207111000,,26.2 EUR/100 kg,
0207113000,,29.9 EUR/100 kg,
0207119000,,32.5 EUR/100 kg,
0207121000,,29.9 EUR/100 kg,
0207129000,,32.5 EUR/100 kg,
0207131000,,102.4 EUR/100 kg,
0207132000,,35.8 EUR/100 kg,
0207133000,,26.9 EUR/100 kg,
0207134000,,18.7 EUR/100 kg,
0207135000,,60.2 EUR/100 kg,
0207136000,,46.3 EUR/100 kg,
0207137000,,100.8 EUR/100 kg,
0207141000,,102.4 EUR/100 kg,
0207142000,,35.8 EUR/100 kg,
0207143000,,26.9 EUR/100 kg,
0207144000,,18.7 EUR/100 kg,
0207145000,,60.2 EUR/100 kg,
0207146000,,46.3 EUR/100 kg,
0207147000,,100.8 EUR/100 kg,
0207241000,,34 EUR/100 kg,
0207249000,,37.3 EUR/100 kg,
0207251000,,34 EUR/100 kg,
0207259000,,37.3 EUR/100 kg,
0207261000,,85.1 EUR/100 kg,
0207262000,,41 EUR/100 kg,
0207263000,,26.9 EUR/100 kg,
0207264000,,18.7 EUR/100 kg,
0207265000,,67.9 EUR/100 kg,
0207266000,,25.5 EUR/100 kg,
0207267000,,46 EUR/100 kg,
0207268000,,83 EUR/100 kg,
0207269100,6.4,,
0207269900,,18.7 EUR/100 kg,
0207271000,,85.1 EUR/100 kg,
0207272000,,41 EUR/100 kg,
0207273000,,26.9 EUR/100 kg,
0207274000,,18.7 EUR/100 kg,
0207275000,,67.9 EUR/100 kg,
0207276000,,25.5 EUR/100 kg,
0207277000,,46 EUR/100 kg,
0207278000,,83 EUR/100 kg,
0207412000,,38 EUR/100 kg,
0207413000,,46.2 EUR/100 kg,
0207418000,,51.3 EUR/100 kg,
0207423000,,46.2 EUR/100 kg,
0207428000,,51.3 EUR/100 kg,
0207441000,,128.3 EUR/100 kg,
0207442100,,56.4 EUR/100 kg,
0207443100,,26.9 EUR/100 kg,
0207445100,,115.5 EUR/100 kg,
0207446100,,46.3 EUR/100 kg,
0207447100,,66 EUR/100 kg,
0207448100,,123.2 EUR/100 kg,
0207451000,,128.3 EUR/100 kg,
0207452100,,56.4 EUR/100 kg,
0207453100,,26.9 EUR/100 kg,
0207454100,,18.7 EUR/100 kg,
0207455100,,115.5 EUR/100 kg,
0207456100,,46.3 EUR/100 kg,
0207457100,,66 EUR/100 kg,
0207458100,,123.2 EUR/100 kg,
0208300000,9,,
0208401000,6.4,,
0208402000,6.4,,
0208408000,9,,
0210201000,,15.4 % + 265.2 EUR/100 kg,
0210209000,,15.4 % + 303.4 EUR/100 kg,
0210910000,15.4,,
0210921000,15.4,,
0210929100,,130 EUR/100 kg,
0210929200,15.4,,
0210929900,,15.4 % + 303.4 EUR/100 kg,
0210992100,,222.7 EUR/100 kg,
0210992900,,311.8 EUR/100 kg,
0210993900,,130 EUR/100 kg,
0210995100,,15.4 % + 303.4 EUR/100 kg,
0210995900,12.8,,
0303250000,8,,
0303891000,8,,
0303892100,0,,
0303892900,22,,
0303893100,7.5,,
0303893900,7.5,,
0303894000,0,,
0303895000,15,,
0303895500,15,,
0303896000,15,,
0303896500,15,,
0303897000,7.5,,
0303899000,15,,
0304390000,9,,
0304891000,9,,
0304892100,7.5,,
0304892900,7.5,,
0304893000,18,,
0304894100,15,,
0304894900,15,,
0304896000,15,,
0304899000,15,,
0306179100,12,,
0306179200,12,,
0306179300,12,,
0306179400,12,,
0306179900,12,,
0306191000,7.5,,
0306199000,12,,
0406103000,,185.2 EUR/100 kg,
0406105000,,185.2 EUR/100 kg,
0406108000,,221.2 EUR/100 kg,
0406401000,,140.9 EUR/100 kg,
0406405000,,140.9 EUR/100 kg,
0406409000,,140.9 EUR/100 kg,
0406900100,,167.1 EUR/100 kg,
0406901300,,171.7 EUR/100 kg,
0406901500,,171.7 EUR/100 kg,
0406901700,,171.7 EUR/100 kg,
0406901800,,171.7 EUR/100 kg,
0406902100,,167.1 EUR/100 kg,
0406902300,,151 EUR/100 kg,
0406902500,,151 EUR/100 kg,
0406902900,,151 EUR/100 kg,
0406903200,,151 EUR/100 kg,
0406903500,,151 EUR/100 kg,
0406903700,,151 EUR/100 kg,
0406903900,,151 EUR/100 kg,
0406905000,,151 EUR/100 kg,
0406906100,,188.2 EUR/100 kg,
0406906300,,188.2 EUR/100 kg,
0406906900,,188.2 EUR/100 kg,
0406907300,,151 EUR/100 kg,
0406907400,,151 EUR/100 kg,
0406907500,,151 EUR/100 kg,
0406907600,,151 EUR/100 kg,
0406907800,,151 EUR/100 kg,
0406907900,,151 EUR/100 kg,
0406908100,,151 EUR/100 kg,
0406908200,,151 EUR/100 kg,
0406908400,,151 EUR/100 kg,
0406908500,,151 EUR/100 kg,
0406908600,,151 EUR/100 kg,
0406908900,,151 EUR/100 kg,
0406909200,,151 EUR/100 kg,
0406909300,,185.2 EUR/100 kg,
0406909900,,221.2 EUR/100 kg,
0708200000,,10.4%,1.6 EUR/100 kg
0803901000,,117 EUR/1000 kg,
0803909000,16,,
0905100000,6,,
0905200000,6,,
0907100000,8,,
0907200000,8,,
1006400000,,65 EUR/1000 kg,
1511101000,0,,
1511109000,3.8,,
1513111000,2.5,,
1513119100,12.8,,
1513119900,6.4,,
1513211000,3.2,,
1513213000,12.8,,
1513219000,6.4,,
1601001000,15.4,,
1601009100,,149.4 EUR/100 kg,
1601009900,,100.5 EUR/100 kg,
1602100000,16.6,,
1602209000,16,,
1602311100,,1024 EUR/1000 kg,
1602311900,,1024 EUR/1000 kg,
1602318000,,1024 EUR/1000 kg,
1602321100,,2765 EUR/1000 kg,
1602321900,,1024 EUR/1000 kg,
1602323000,,2765 EUR/1000 kg,
1602329000,,2765 EUR/1000 kg,
1602392100,,2765 EUR/1000 kg,
1602392900,,2765 EUR/1000 kg,
1602398500,,2765 EUR/1000 kg,
1602501000,,303.4 EUR/100 kg,
1602509500,16.6,,
1602901000,16.6,,
1602906100,,303.4 EUR/100 kg,
1602906900,16.6,,
1602909100,12.8,,
1602909500,16.6,,
1602909900,16.6,,
1604110000,5.5,,
1604142100,24,,
1604142600,24,,
1604142800,24,,
1604143100,24,,
1604143600,24,,
1604143800,24,,
1604144100,24,,
1604144600,24,,
1604144800,24,,
1604149000,25,,
1604151100,25,,
1604151900,25,,
1604159000,20,,
1604160000,25,,
1604191000,7,,
1604193100,24,,
1604193900,24,,
1604195000,12.5,,
1604199100,7.5,,
1604199200,20,,
1604199300,20,,
1604199400,20,,
1604199500,20,,
1604199700,20,,
1604200500,20,,
1604201000,5.5,,
1604203000,7,,
1604204000,25,,
1604205000,25,,
1604207000,24,,
1604209000,14,,
1605211000,20,,
1605219000,20,,
