Order number,Start date,End date,Mapped
090006,2017-06-16 00:00:00,2018-02-14 00:00:00,True
090006,2018-06-16 00:00:00,2019-02-14 00:00:00,True
090007,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090009,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090013,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090019,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090021,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090023,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090025,2018-02-01 00:00:00,2018-04-30 00:00:00,True
090027,2018-02-01 00:00:00,2018-04-30 00:00:00,True
090033,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090035,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090039,2018-01-15 00:00:00,2018-06-14 00:00:00,True
090040,2018-05-21 00:00:00,2018-07-15 00:00:00,True
090041,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090043,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090043,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090045,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090046,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090047,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090048,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090050,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090051,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090052,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090052,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090053,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090053,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090054,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090054,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090055,2018-01-01 00:00:00,2018-05-15 00:00:00,True
090056,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090057,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090058,2017-08-01 00:00:00,2018-05-31 00:00:00,True
090058,2018-08-01 00:00:00,2019-05-31 00:00:00,True
090059,2017-11-01 00:00:00,2018-05-15 00:00:00,True
090059,2018-11-01 00:00:00,2019-05-15 00:00:00,True
090060,2018-07-21 00:00:00,2018-10-31 00:00:00,True
090061,2018-04-01 00:00:00,2018-07-31 00:00:00,True
090062,2018-08-01 00:00:00,2018-12-31 00:00:00,True
090063,2018-06-01 00:00:00,2018-07-31 00:00:00,True
090067,2017-09-01 00:00:00,2018-08-31 00:00:00,True
090067,2018-09-01 00:00:00,2019-08-31 00:00:00,True
090070,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090071,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090071,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090072,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090073,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090074,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090074,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090075,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090076,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090083,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090084,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090085,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090086,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090087,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090088,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090089,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090090,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090091,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090091,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090092,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090093,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090094,2018-05-15 00:00:00,2018-10-31 00:00:00,True
090095,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090096,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090096,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090097,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090098,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090101,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090103,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090104,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090106,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090107,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090109,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090111,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090113,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090113,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090114,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090114,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090115,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090115,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090118,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090118,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090119,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090120,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090120,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090121,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090121,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090122,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090122,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090123,2017-07-01 00:00:00,2018-06-30 00:00:00,True
090123,2018-07-01 00:00:00,2019-06-30 00:00:00,True
090124,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090125,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090126,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090127,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090128,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090129,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090130,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090131,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090132,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090202,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090204,2018-05-01 00:00:00,2018-11-14 00:00:00,True
090206,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090208,2018-01-01 00:00:00,2018-12-31 00:00:00,True
090211,2017-05-16 00:00:00,2018-02-14 00:00:00,True
