Measure SID,Order number,Measure type,Start date,End date,Geo,Commodity,additional_code_type_id,additional_code_id,reduction_indicator,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,additional_code_sid,export_refund_nomenclature_sid
2316414,092602,122,2002-01-01 00:00:00,,1011,2921511910,,,,4,R0125590,,,False,400,74715,,
2316415,092603,122,2002-01-01 00:00:00,,1011,2931009515,,,,4,R0125590,,,False,400,74714,,
2316418,092604,122,2002-01-01 00:00:00,,1011,3905300010,,,,4,R0125590,,,False,400,74718,,
2316420,092605,122,2002-01-01 00:00:00,,1011,3824909978,,,,4,R0125590,,,False,400,74717,,
2316422,092606,122,2002-01-01 00:00:00,,1011,3824909979,,,,4,R0125590,,,False,400,74814,,
2316425,092607,122,2002-01-01 00:00:00,,1011,2922500060,,,,4,R0125590,,,False,400,74815,,
2316427,092609,122,2002-01-01 00:00:00,,1011,2811220020,,,,4,R0125590,,,False,400,74854,,
2338320,092954,122,2002-01-01 00:00:00,,1011,2926909555,,,,4,R0125590,,,False,400,74570,,
2338322,092935,122,2002-07-01 00:00:00,,1011,3806101000,,,,4,R0125590,,,False,400,38355,,
2822449,094155,143,2005-07-15 00:00:00,,CH,0403100000,,,,4,R0400501,,,False,437,29491,,
2823339,094514,122,2005-07-15 00:00:00,,NZ,0406902120,,,,1,R0125350,,,False,425,29846,,
2823340,094521,122,2005-07-15 00:00:00,,AU,0406902120,,,,1,R0125350,,,False,377,29846,,
2944754,094158,122,2007-01-01 00:00:00,,1008,0711510000,,,,1,R0619790,,,False,68,72881,,
2944755,094158,122,2007-01-01 00:00:00,,1008,2003102000,,,,1,R0619790,,,False,68,33530,,
2944756,094158,122,2007-01-01 00:00:00,,1008,2003103000,,,,1,R0619790,,,False,68,33535,,
2944759,094131,122,2007-01-01 00:00:00,,1008,1005109000,,,,1,R0609690,,,False,68,31825,,
2944760,094131,122,2007-01-01 00:00:00,,1008,1005900000,,,,1,R0609690,,,False,68,31826,,
2953010,094032,143,2007-01-01 00:00:00,,TN,1509100000,,,,1,R0619180,,,False,259,32412,,
2955572,094515,123,2007-01-01 00:00:00,,NZ,0406900100,,,,1,R0125350,,,False,425,57641,,
2955573,094522,123,2007-01-01 00:00:00,,AU,0406900100,,,,1,R0125350,,,False,377,57641,,
2955881,094194,122,2007-01-01 00:00:00,,1008,0711510000,,,,1,R0619790,,,False,68,72881,,
2955882,094194,122,2007-01-01 00:00:00,,1008,2003102000,,,,1,R0619790,,,False,68,33530,,
2955883,094194,122,2007-01-01 00:00:00,,1008,2003103000,,,,1,R0619790,,,False,68,33535,,
2968072,094104,122,2007-06-01 00:00:00,,AR,0703200000,,,,1,R0703410,,,False,37,30310,,
2968073,094099,122,2007-06-01 00:00:00,,AR,0703200000,,,,1,R0703410,,,False,37,30310,,
2968074,094105,122,2007-06-01 00:00:00,,CN,0703200000,,,,1,R0703410,,,False,439,30310,,
2968075,094100,122,2007-06-01 00:00:00,,CN,0703200000,,,,1,R0703410,,,False,439,30310,,
2968076,094106,122,2007-06-01 00:00:00,,1008,0703200000,,,,1,R0703410,,,False,68,30310,,
2968077,094102,122,2007-06-01 00:00:00,,1008,0703200000,,,,1,R0703410,,,False,68,30310,,
2971450,094401,122,2007-07-01 00:00:00,,1011,0408118000,,,,1,R0705390,,,False,400,29989,,
2971451,094401,122,2007-07-01 00:00:00,,1011,0408198100,,,,1,R0705390,,,False,400,29997,,
2971452,094401,122,2007-07-01 00:00:00,,1011,0408198900,,,,1,R0705390,,,False,400,29998,,
2971453,094401,122,2007-07-01 00:00:00,,1011,0408918000,,,,1,R0705390,,,False,400,30004,,
2971454,094401,122,2007-07-01 00:00:00,,1011,0408998000,,,,1,R0705390,,,False,400,30009,,
2971455,094402,122,2007-07-01 00:00:00,,1011,3502119000,,,,1,R0705390,,,False,400,59651,,
2971456,094402,122,2007-07-01 00:00:00,,1011,3502199000,,,,1,R0705390,,,False,400,59654,,
2971536,094067,122,2007-07-01 00:00:00,,1008,0207111000,,,,1,R0705330,,,False,68,59208,,
2971537,094067,122,2007-07-01 00:00:00,,1008,0207113000,,,,1,R0705330,,,False,68,59209,,
2971538,094067,122,2007-07-01 00:00:00,,1008,0207119000,,,,1,R0705330,,,False,68,59210,,
2971539,094067,122,2007-07-01 00:00:00,,1008,0207121000,,,,1,R0705330,,,False,68,59212,,
2971540,094067,122,2007-07-01 00:00:00,,1008,0207129000,,,,1,R0705330,,,False,68,59213,,
2971541,094068,122,2007-07-01 00:00:00,,1008,0207131000,,,,1,R0705330,,,False,68,59216,,
2971542,094068,122,2007-07-01 00:00:00,,1008,0207132000,,,,1,R0705330,,,False,68,59218,,
2971543,094068,122,2007-07-01 00:00:00,,1008,0207133000,,,,1,R0705330,,,False,68,59219,,
2971544,094068,122,2007-07-01 00:00:00,,1008,0207134000,,,,1,R0705330,,,False,68,59220,,
2971545,094068,122,2007-07-01 00:00:00,,1008,0207135000,,,,1,R0705330,,,False,68,59221,,
2971546,094068,122,2007-07-01 00:00:00,,1008,0207136000,,,,1,R0705330,,,False,68,59222,,
2971547,094068,122,2007-07-01 00:00:00,,1008,0207137000,,,,1,R0705330,,,False,68,59223,,
2971548,094069,122,2007-07-01 00:00:00,,1008,0207141000,,,,1,R0705330,,,False,68,59229,,
2971549,094068,122,2007-07-01 00:00:00,,1008,0207142000,,,,1,R0705330,,,False,68,59231,,
2971550,094068,122,2007-07-01 00:00:00,,1008,0207143000,,,,1,R0705330,,,False,68,59232,,
2971551,094068,122,2007-07-01 00:00:00,,1008,0207144000,,,,1,R0705330,,,False,68,59233,,
2971552,094068,122,2007-07-01 00:00:00,,1008,0207146000,,,,1,R0705330,,,False,68,59235,,
2971553,094070,122,2007-07-01 00:00:00,,1008,0207241000,,,,1,R0705330,,,False,68,59242,,
2971554,094070,122,2007-07-01 00:00:00,,1008,0207249000,,,,1,R0705330,,,False,68,59243,,
2971555,094070,122,2007-07-01 00:00:00,,1008,0207251000,,,,1,R0705330,,,False,68,59245,,
2971556,094070,122,2007-07-01 00:00:00,,1008,0207259000,,,,1,R0705330,,,False,68,59246,,
2971557,094070,122,2007-07-01 00:00:00,,1008,0207261000,,,,1,R0705330,,,False,68,59249,,
2971558,094070,122,2007-07-01 00:00:00,,1008,0207262000,,,,1,R0705330,,,False,68,59251,,
2971559,094070,122,2007-07-01 00:00:00,,1008,0207263000,,,,1,R0705330,,,False,68,59252,,
2971560,094070,122,2007-07-01 00:00:00,,1008,0207264000,,,,1,R0705330,,,False,68,59253,,
2971561,094070,122,2007-07-01 00:00:00,,1008,0207265000,,,,1,R0705330,,,False,68,59254,,
2971562,094070,122,2007-07-01 00:00:00,,1008,0207266000,,,,1,R0705330,,,False,68,59256,,
2971563,094070,122,2007-07-01 00:00:00,,1008,0207267000,,,,1,R0705330,,,False,68,59257,,
2971564,094070,122,2007-07-01 00:00:00,,1008,0207268000,,,,1,R0705330,,,False,68,59258,,
2971565,094070,122,2007-07-01 00:00:00,,1008,0207273000,,,,1,R0705330,,,False,68,59267,,
2971566,094070,122,2007-07-01 00:00:00,,1008,0207274000,,,,1,R0705330,,,False,68,59268,,
2971567,094070,122,2007-07-01 00:00:00,,1008,0207275000,,,,1,R0705330,,,False,68,59269,,
2971568,094070,122,2007-07-01 00:00:00,,1008,0207276000,,,,1,R0705330,,,False,68,59271,,
2971569,094070,122,2007-07-01 00:00:00,,1008,0207277000,,,,1,R0705330,,,False,68,59272,,
2973052,094169,122,2007-07-01 00:00:00,,US,0207111000,,,,1,R0705360,,,False,103,59208,,
2973053,094169,122,2007-07-01 00:00:00,,US,0207145000,,,,1,R0705360,,,False,103,59234,,
2973054,094169,122,2007-07-01 00:00:00,,US,0207113000,,,,1,R0705360,,,False,103,59209,,
2973055,094169,122,2007-07-01 00:00:00,,US,0207119000,,,,1,R0705360,,,False,103,59210,,
2973056,094169,122,2007-07-01 00:00:00,,US,0207121000,,,,1,R0705360,,,False,103,59212,,
2973057,094169,122,2007-07-01 00:00:00,,US,0207129000,,,,1,R0705360,,,False,103,59213,,
2973058,094169,122,2007-07-01 00:00:00,,US,0207131000,,,,1,R0705360,,,False,103,59216,,
2973059,094169,122,2007-07-01 00:00:00,,US,0207132000,,,,1,R0705360,,,False,103,59218,,
2973060,094169,122,2007-07-01 00:00:00,,US,0207133000,,,,1,R0705360,,,False,103,59219,,
2973061,094169,122,2007-07-01 00:00:00,,US,0207134000,,,,1,R0705360,,,False,103,59220,,
2973062,094169,122,2007-07-01 00:00:00,,US,0207135000,,,,1,R0705360,,,False,103,59221,,
2973063,094169,122,2007-07-01 00:00:00,,US,0207136000,,,,1,R0705360,,,False,103,59222,,
2973064,094169,122,2007-07-01 00:00:00,,US,0207137000,,,,1,R0705360,,,False,103,59223,,
2973065,094169,122,2007-07-01 00:00:00,,US,0207141000,,,,1,R0705360,,,False,103,59229,,
2973066,094169,122,2007-07-01 00:00:00,,US,0207142000,,,,1,R0705360,,,False,103,59231,,
2973067,094169,122,2007-07-01 00:00:00,,US,0207143000,,,,1,R0705360,,,False,103,59232,,
2973068,094169,122,2007-07-01 00:00:00,,US,0207144000,,,,1,R0705360,,,False,103,59233,,
2973069,094169,122,2007-07-01 00:00:00,,US,0207146000,,,,1,R0705360,,,False,103,59235,,
2973070,094169,122,2007-07-01 00:00:00,,US,0207241000,,,,1,R0705360,,,False,103,59242,,
2973071,094169,122,2007-07-01 00:00:00,,US,0207251000,,,,1,R0705360,,,False,103,59245,,
2973072,094169,122,2007-07-01 00:00:00,,US,0207249000,,,,1,R0705360,,,False,103,59243,,
2973073,094169,122,2007-07-01 00:00:00,,US,0207259000,,,,1,R0705360,,,False,103,59246,,
2973074,094169,122,2007-07-01 00:00:00,,US,0207261000,,,,1,R0705360,,,False,103,59249,,
2973075,094169,122,2007-07-01 00:00:00,,US,0207262000,,,,1,R0705360,,,False,103,59251,,
2973076,094169,122,2007-07-01 00:00:00,,US,0207263000,,,,1,R0705360,,,False,103,59252,,
2973077,094169,122,2007-07-01 00:00:00,,US,0207264000,,,,1,R0705360,,,False,103,59253,,
2973078,094169,122,2007-07-01 00:00:00,,US,0207265000,,,,1,R0705360,,,False,103,59254,,
