EU Regulation,TAP ID
D971401,X1900010
R150949,X1900020
R140494,X1900030
R071523,X1900040
R120642,X1900050
R170284,X1900060
R140704,X1900070
R150936,X1900080
R031210,X1900090
R120649,X1900100
R141078,X1900100
R152229,X1900100
R180172,X1900100
R061368,X1900110
R080555,X1900120
D050394,X1900130
R051236,X1900140
R111352,X1900140
R140775,X1900140
R131259,X1900150
R810139,X1900170
R150943,X1900180
R160874,X1900180
R100640,X1900200
R131308,X1900210
R081005,X1900220
R110333,X1900230
R120258,X1900240
R022368,X1900250
R172058,X1900260
R160024,X1900270
R031984,X1900280
R162106,X1900280
R130743,X1900300
R152447,X1900310
R151850,X1900320
R050111,X1900330
R150175,X1900350
R110284,X1900360
R140885,X1900370
R170186,X1900380
D070275,X1900390
D110884,X1900400
R140517,X1900410
R071375,X1900420
R170852,X1900430
R070834,X1900440
R061013,X1900450
R091005,X1900460
D140284,X1900470
R090116,X1900480
R081295,X1900490
R170160,X1900500
D130092,X1900510
R080972,X1900530
R913254,X1900540
R161443,X1900550
R101099,X1900560
R110799,X1900560
R120514,X1900560
R121235,X1900560
R140323,X1900560
R140718,X1900560
R141021,X1900560
R150525,X1900560
R151607,X1900560
R160443,X1900560
R161024,X1900560
R162107,X1900560
R171142,X1900560
R172298,X1900560
R180941,X1900560
R110321,X1900710
R161237,X1900720
R120267,X1900730
R060765,X1900740
R171509,X1900750
R171548,X1900750
R171836,X1900750
R172062,X1900750
R180285,X1900750
R120264,X1900800
R130401,X1900810
R150735,X1900820
D140512,X1900830
R140833,X1900830
D151764,X1900830
R160044,X1900860
R171325,X1900860
R140747,X1900880
R120036,X1900890
R120168,X1900890
R120509,X1900890
R130697,X1900890
R131332,X1900890
R141323,X1900890
R172063,X1900950
R141382,X1900960
R152420,X1900960
R161969,X1900960
R172268,X1900960
D140088,X1901000
D060232,X1901010
R171263,X1901020
