ordernumber,Matt Lavis description,
090025,"FCFS Quota number 090025 for geography 1011 : ERGA OMNES on high quality sweet oranges, fresh",
090027,FCFS Quota number 090027 for geography 1011 : ERGA OMNES on minneolas,
090039,FCFS Quota number 090039 for geography 1011 : ERGA OMNES on lemons,
090040,FCFS Quota number 090040 for geography 1011 : ERGA OMNES on fresh sweet cherries,
090055,"FCFS Quota number 090055 for geography 1011 : ERGA OMNES on potatoes, fresh or chilled",
090060,"FCFS Quota number 090060 for geography 1011 : ERGA OMNES on table grapes, fresh",
090061,"FCFS Quota number 090061 for geography 1011 : ERGA OMNES on apples, fresh, other than cider apples",
090063,"FCFS Quota number 090063 for geography 1011 : ERGA OMNES on apricots, fresh",
090094,"FCFS Quota number 090094 for geography 1011 : ERGA OMNES on tomatoes, fresh or chilled",
090751,FCFS Quota number 090751 for geography NO : Norway on cauliflowers and headed broccoli,
090757,"FCFS Quota number 090757 for geography NO : Norway on cherries, fresh",
090759,"FCFS Quota number 090759 for geography NO : Norway on plums and sloes, fresh",
090761,"FCFS Quota number 090761 for geography NO : Norway on strawberries, fresh",
090762,"FCFS Quota number 090762 for geography NO : Norway on strawberries, fresh",
090790,FCFS Quota number 090790 for geography IS : Iceland on bone-in and carcasses sheepmeat from iceland,
090809,"FCFS Quota number 090809 for geography IS : Iceland on sausages and similar products of meat, meat offal or blood; food preparations based on these products",
091006,"FCFS Quota number 091006 for geography DZ : Algeria on new potatoes, fresh or chilled",
091101,"FCFS Quota number 091101 for geography MA : Morocco on strawberries, fresh",
091118,"FCFS Quota number 091118 for geography MA : Morocco on strawberries, fresh",
091171,"FCFS Quota number 091171 for geography LB : Lebanon on new potatoes, fresh or chilled",
091172,"FCFS Quota number 091172 for geography LB : Lebanon on new potatoes, and so-called ""new potatoes"", fresh or chilled",
091185,"FCFS Quota number 091185 for geography LB : Lebanon on plums and sloes, fresh",
091213,"FCFS Quota number 091213 for geography TN : Tunisia on new potatoes, fresh or chilled",
091300,"FCFS Quota number 091300 for geography IL : Israel on new potatoes, fresh or chilled",
091371,"FCFS Quota number 091371 for geography IL : Israel on clementines, mandarins and wilkings, fresh",
091712,"FCFS Quota number 091712 for geography EG : Egypt on garlic, fresh or chilled",
092119,FCFS Quota number 092119 for geography IS : Iceland on boneless lamb from iceland,
092120,FCFS Quota number 092120 for geography IS : Iceland on boneless mutton/sheep from iceland,
092726,FCFS Quota number 092726 for geography 1011 : ERGA OMNES on menthol,
092728,FCFS Quota number 092728 for geography 1011 : ERGA OMNES on ethyl trifluoroacetate (cas rn 383-63-1),
092730,"FCFS Quota number 092730 for geography 1011 : ERGA OMNES on 4,4'-methanediyldianiline (cas rn 101-77-9) in form of granules, for use in the manufacture of prepolymers",
092732,"FCFS Quota number 092732 for geography 1011 : ERGA OMNES on fluazinam (iso) (cas rn 79622-59-6), with a purity by weight of 98,5 % or more",
092734,"FCFS Quota number 092734 for geography 1011 : ERGA OMNES on plates or sheets consisting of a layer of a silicon nitride ceramic with a thickness of 0,32 mm (± 0,1 mm) or more but not more than 1,0 mm (± 0,1 mm) , covered on both sides with a foil of refined copper with a thickness of 0,8 mm (± 0,1 mm) and on one side partially covered with a coating of silver",
092736,FCFS Quota number 092736 for geography 1011 : ERGA OMNES on aluminium and magnesium alloy strip or foil,
090113,FCFS Quota number 090113 for geography 1011 : ERGA OMNES on young male bovine animals for fattening,
090114,"FCFS Quota number 090114 for geography 1011 : ERGA OMNES on cows and heifers other than for slaughter of the following mountain breeds: grey, brown, yellow and mottled simmental breeds and pinzgau breed",
090115,"FCFS Quota number 090115 for geography 1011 : ERGA OMNES on bulls, cows and heifers other than for slaughter of the following breeds: mottled simmental breed and schwyz and fribourg breeds",
092181,"FCFS Quota number 092181 for geography 1011 : ERGA OMNES on goat/sheepmeat, erga omnes",
091361,FCFS Quota number 091361 for geography IL : Israel on live turkeys weighing not more than 185 g,
097300,"FCFS Quota number 097300 for geography 2200 : Central America on meat of bovine animals, fresh, chilled or frozen",
097315,"FCFS Quota number 097315 for geography NI : Nicaragua on meat of bovine animals, fresh, chilled or frozen",
097210,FCFS Quota number 097210 for geography PE : Peru on meat of bovine animals,
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
092202,"FCFS Quota number 092202 for geography AR : Argentina, AU : Australia, CA : Canada, NZ : New Zealand, US : United States of America, UY : Uruguay on meat of bovine animals, fresh, chilled or frozen, that fulfils the requirements laid down in annex ii of the commission implementing regulation (eu) no 481/2012",
098400,"FCFS Quota number 098400 for geography CA : Canada on carcases and half-carcases of bison, fresh or chilled - ""compensated"" quarters of bison with bone in, fresh or chilled, unseparated or separated forequarters of bison, with bone in, fresh or chilled, unseparated or separated hindquarters of bison, with bone in, fresh or chilled, other cuts of bison with bone in, fresh or chilled, carcases and half-carcases of bison, frozen, ""compensated"" quarters of bison with bone in",
097230,"FCFS Quota number 097230 for geography CO : Colombia on meat of bovine animals, fresh, chilled or frozen, boneles",
098401,"FCFS Quota number 098401 for geography CA : Canada on boneless meat of bison, fresh or chilled forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece, of bison, boneless and frozen crop, chuck-and-blade and brisket cuts, of bison",
090831,"FCFS Quota number 090831 for geography IS : Iceland on meat of swine, fresh, chilled or frozen",
097220,"FCFS Quota number 097220 for geography PE : Peru on meat of domestic swine, fresh, chilled or frozen",
091921,FCFS Quota number 091921 for geography CL : Chile on pigmeat,
091944,FCFS Quota number 091944 for geography CL : Chile on certain agricultural products originating in chile,
090122,"FCFS Quota number 090122 for geography 1011 : ERGA OMNES on carcases and half-carcases, fresh, chilled or frozen",
090123,"FCFS Quota number 090123 for geography 1011 : ERGA OMNES on cuts, fresh, chilled or frozen, boned and with bone in, excluding tenderloin, preserved alone",
090119,"FCFS Quota number 090119 for geography 1011 : ERGA OMNES on pigmeat, fresh, chilled or frozen",
090118,"FCFS Quota number 090118 for geography 1011 : ERGA OMNES on tenderloin, fresh, chilled or frozen",
090833,FCFS Quota number 090833 for geography IS : Iceland on sheep or goatmeat,
090227,"FCFS Quota number 090227 for geography TR : Turkey on bone-in and carcass,sheepmeat,turkey",
090690,FCFS Quota number 090690 for geography FO : Faroe Islands on bone-in and carcass lamb,
090693,FCFS Quota number 090693 for geography GL : Greenland on bone-in and carcass lamb,
090781,"FCFS Quota number 090781 for geography NO : Norway on meat of sheep or goats, fresh",
091922,"FCFS Quota number 091922 for geography CL : Chile on meat of sheep or goats, fresh, chilled or frozen.",
092011,"FCFS Quota number 092011 for geography AR : Argentina on sheepmeat, bone-in and carcasses",
092012,FCFS Quota number 092012 for geography AU : Australia on sheepmeat - bone-in and carcass,
092013,FCFS Quota number 092013 for geography NZ : New Zealand on bone-in and carcasses,
092014,FCFS Quota number 092014 for geography UY : Uruguay on bone-in and carcasses sheepmeat from uruguay,
092015,"FCFS Quota number 092015 for geography 1011 : ERGA OMNES, 2500 : Member countries of WTO on bone-in and carcasses",
092016,"FCFS Quota number 092016 for geography 1011 : ERGA OMNES on bone-in and carcasses,erga omnes",
096700,FCFS Quota number 096700 for geography UA : Ukraine on sheep and goat meat,
092101,FCFS Quota number 092101 for geography AR : Argentina on boneless lamb,
092105,FCFS Quota number 092105 for geography AU : Australia on boneless lamb,
092109,FCFS Quota number 092109 for geography NZ : New Zealand on boneless lamb,
092111,FCFS Quota number 092111 for geography UY : Uruguay on boneless lamb.,
092115,FCFS Quota number 092115 for geography CL : Chile on boneless lamb,
