Quota order number,Country,method,EU quota,% of EU quota,New quota,Total admin days,Admin days after 30.03.19,Quota volume on 30.03.19 (unrounded),Quota volume to be opened on 30 Mar 2019,Standard volume,start date,measurement_unit,origin_quota,Notes
090919,switzerland,FCFS,1900000,0.0537,102030,365,277,77431,77000,102000,01/01/2020,,Y,
090921,switzerland,FCFS,4000000,0.0537,214800,365,277,163013,163000,215000,01/01/2020,,Y,
090922,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090923,switzerland,FCFS,5000000,0.0537,268500,365,277,203766,204000,269000,01/01/2020,,,
090924,switzerland,FCFS,5500000,0.0537,295350,365,277,224142,224000,295000,01/01/2020,,,
090925,switzerland,FCFS,3000000,0.0537,161100,365,277,122259,122000,161000,01/01/2020,,,
090926,switzerland,FCFS,5000000,0.0537,268500,365,277,203766,204000,269000,01/01/2020,,,
090927,switzerland,FCFS,3000000,0.0537,161100,365,277,122259,122000,161000,01/01/2020,,,
090928,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090929,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090930,switzerland,FCFS,500000,0.0537,26850,365,277,20377,20000,27000,01/01/2020,,,
090931,switzerland,FCFS,500000,0.0537,26850,365,277,20377,20000,27000,01/01/2020,,,
090932,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090933,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090934,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090935,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090936,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090937,switzerland,FCFS,3000000,0.0537,161100,365,277,122259,122000,161000,01/01/2020,,,
090938,switzerland,FCFS,3000000,0.0537,161100,365,277,122259,122000,161000,01/01/2020,,,
090939,switzerland,FCFS,500000,0.0537,26850,365,277,20377,20000,27000,01/01/2020,,,
090940,switzerland,FCFS,1500000,0.0537,80550,365,277,61130,61000,81000,01/01/2020,,,
090941,switzerland,FCFS,1000000,0.0537,53700,365,277,40753,41000,54000,01/01/2020,,,
090942,switzerland,FCFS,100000,0.0537,5370,365,277,4075,4000,5000,01/01/2020,,,
090943,switzerland,FCFS,100000,0.0537,5370,365,277,4075,4000,5000,01/01/2020,,,
090944,switzerland,FCFS,5000,0.0537,269,365,277,204,200,270,01/01/2020,,,
090945,switzerland,FCFS,3000000,0.0537,161100,365,277,122259,122000,161000,01/01/2020,,,
090946,switzerland,FCFS,500000,0.0537,26850,365,277,20377,20000,27000,01/01/2020,,,
090948,switzerland,FCFS,200000,0.0537,10740,365,277,8151,8000,11000,01/01/2020,,,
090950,switzerland,FCFS,300000,0.0537,16110,365,277,12226,12000,16000,01/01/2020,,,
094155,switzerland,Licensed,2000000,0.0537,107400,365,93,27365,27000,107000,01/07/2019,,,
094202,switzerland,Licensed,1200000,0.0537,64440,365,277,48904,49000,64000,01/01/2020,,,
094203,switzerland,Licensed,4600,0.0537,247,365,277,187,187,247,01/01/2020,,,
090671,faroeislands,FCFS,700000,0.1362,95340,365,277,72354,72000,95000,01/01/2020,,,
090672,faroeislands,FCFS,750000,0.1362,102150,365,277,77522,78000,102000,01/01/2020,,,
090674,faroeislands,FCFS,1200000,0.1362,163440,365,277,124035,124000,163000,01/01/2020,,,
090675,faroeislands,FCFS,400000,0.1362,54480,365,277,41345,41000,54000,01/01/2020,,,
090676,faroeislands,FCFS,750000,0.1362,102150,365,277,77522,78000,102000,01/01/2020,,,
090679,faroeislands,FCFS,4000000,0.1362,544800,365,277,413451,413000,545000,01/01/2020,,,"Staging applies to this quota .  If 80% of the quota is used, the UK will be obliged to offer an extra 136 tonnes/year, to a maximum level of 817 tonnes."
090681,faroeislands,FCFS,1200000,0.1362,163440,365,277,124035,124000,163000,01/01/2020,,,
090689,faroeislands,FCFS,20000000,0.1362,2724000,365,277,2067255,2067000,2724000,01/01/2020,,,
090690,faroeislands,FCFS,20000,0.1362,2724,365,277,2067,2000,3000,01/01/2020,,,"These three quotas are linked.  When volume is used under any quota, that amount is deducted from all three quotas.  They are administered as three separate quotas, because a different coefficient is applicable to calculate the carcass weight equivalent of differnt commodities. "
092129,faroeislands,FCFS,20000,0.1362,2724,365,277,2067,2000,3000,01/01/2020,,,"These three quotas are linked.  When volume is used under any quota, that amount is deducted from all three quotas.  They are administered as three separate quotas, because a different coefficient is applicable to calculate the carcass weight equivalent of differnt commodities. "
