Regulation ID,UK regulation ID
D971401,X0000010
R170186,X0000020
R180285,X0000030
R180941,X0000040
D140088,X0000050
D130092,X0000060
D070275,X0000070
D140284,X0000080
D050394,X0000090
R160024,X0000100
R810139,X0000110
R170160,X0000120
R150175,X0000130
R140323,X0000140
R160443,X0000150
R140494,X0000160
R120514,X0000170
R140517,X0000180
R150525,X0000190
R140704,X0000200
R140718,X0000210
R130743,X0000220
R110799,X0000230
R070834,X0000240
R160874,X0000250
R140885,X0000260
R150943,X0000270
R150949,X0000280
R081005,X0000290
R141021,X0000300
R161024,X0000310
R101099,X0000320
R171142,X0000330
R121235,X0000340
R161237,X0000350
R171263,X0000360
R081295,X0000370
R071375,X0000380
R151607,X0000390
R151850,X0000400
R031984,X0000410
R172058,X0000420
R162106,X0000430
R162107,X0000440
R172298,X0000450
R913254,X0000460
R071523,X0000470
R180172,X0000480
R090116,X0000490
R110333,X0000500
R091005,X0000510
R061013,X0000520
R022368,X0000530
R141382,X0000540
R161969,X0000550
R172268,X0000560
R152420,X0000570
R120264,X0000580
R170284,X0000590
R130401,X0000600
R120509,X0000610
R130697,X0000620
R150735,X0000630
R140747,X0000640
R060765,X0000650
R140833,X0000660
R141323,X0000670
R171325,X0000680
R172062,X0000690
R120258,X0000700
R120649,X0000710
R141078,X0000720
R152229,X0000730
R050111,X0000740
R131259,X0000750
R161443,X0000760
R120642,X0000770
R171548,X0000780
R170852,X0000790
R110284,X0000800
R110321,X0000810
D140512,X0000820
D151764,X0000830
R120036,X0000840
R160044,X0000850
R120168,X0000860
R120267,X0000870
R031210,X0000880
R131332,X0000890
R171509,X0000900
R171836,X0000910
R172063,X0000920
R150936,X0000930
R140775,X0000940
R051236,X0000950
R111352,X0000960
R080972,X0000970
D060232,X0000980
D110884,X0000990
R100640,X0001000
R131308,X0001010
R152447,X0001020
