UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605172743000+00000162103639824490   10110707000590           200620181R1708920200620181R170892000000040000070359                '
001605172843000+00000163103639825490   10110707000599           200620181R1708920200620181R170892000000040000070362                '
001605172943000+00000164103639826490   10110709931000           200620181R1708920200620181R170892000000040000094443                '
001605173043000+00000165103639827490   10110805501000           200620181R1708920200620181R170892000000040000072900                '
001605173143000+00000166103639828490   10110808108000           200620181R1708920200620181R170892000000040000081145                '
001605173243000+00000167103639829490   10110809100000           200620181R1708920200620181R170892000000040000031302                '
001605173343000+00000168103639830490   10110809290000           200620181R1708920200620181R170892000000040000094499                '
001605173443000+00000169103639831490   AR  0805501000           200620181R1708920200620181R170892000000003700072900                '
001605173543000+00000170103639832490   AR  0808108000           200620181R1708920200620181R170892000000003700081145                '
001605173643000+00000171103639833490   BR  0808108000           200620181R1708920200620181R170892000000009400081145                '
001605173743000+00000172103639834490   CL  0808108000           200620181R1708920200620181R170892000000020500081145                '
001605173843000+00000173103639845490   CN  0808108000           200620181R1708920200620181R170892000000043900081145                '
001605173943000+00000174103639836490   NZ  0808108000           200620181R1708920200620181R170892000000042500081145                '
001605174043000+00000175103639837490   TR  0805501000           200620181R1708920200620181R170892000000010000072900                '
001605174143000+00000176103639838490   US  0808108000           200620181R1708920200620181R170892000000010300081145                '
001605174243000+00000177103639839490   ZA  0805501000           200620181R1708920200620181R170892000000044200072900                '
001605174343000+00000178103639840490   ZA  0808108000           200620181R1708920200620181R170892000000044200081145                '
001605176643000+00000179303642854490   10110702000000           210620181R17089200000000000000000000000040000030256                '
001605176743000+00000182303642855490   10110707000590           210620181R17089200000000000000000000000040000070359                '
001605176843000+00000185303642856490   10110707000599           210620181R17089200000000000000000000000040000070362                '
001605176943000+00000188303642857490   10110709931000           210620181R17089200000000000000000000000040000094443                '
001605177043000+00000191303642858490   10110805501000           210620181R17089200000000000000000000000040000072900                '
001605177143000+00000197303642859490   10110808108000           210620181R17089200000000000000000000000040000081145                '
001605177243000+00000207303642860490   10110809100000           210620181R17089200000000000000000000000040000031302                '
001605177343000+00000210303642861490   10110809290000           210620181R17089200000000000000000000000040000094499                '
001605177443000+00000213303642862490   AR  0805501000           210620181R17089200000000000000000000000003700072900                '
001605177543000+00000216303642863490   AR  0808108000           210620181R17089200000000000000000000000003700081145                '
001605177643000+00000219303642864490   BR  0808108000           210620181R17089200000000000000000000000009400081145                '
001605177743000+00000222303642865490   CL  0808108000           210620181R17089200000000000000000000000020500081145                '
001605177843000+00000225303642866490   CN  0808108000           210620181R17089200000000000000000000000043900081145                '
001605177943000+00000228303642867490   NZ  0808108000           210620181R17089200000000000000000000000042500081145                '
001605178043000+00000231303642868490   TR  0805501000           210620181R17089200000000000000000000000010000072900                '
001605178143000+00000234303642869490   US  0808108000           210620181R17089200000000000000000000000010300081145                '
001605178243000+00000237303642870490   ZA  0805501000           210620181R17089200000000000000000000000044200072900                '
001605178343000+00000240303642871490   ZA  0808108000           210620181R17089200000000000000000000000044200081145                '
001605178843000+00000243303639677552   10118541409041B791       010720184R17157000000000000000000000000040000103306   12420        '
001605178943000+00000254303639693552   10118541409041B792       010720184R17157000000000000000000000000040000103306   12376        '
001605179043000+00000265303639721552   10118541409041B793       010720184R17157000000000000000000000000040000103306   12378        '
001605179143000+00000276303639725552   10118541409041B794       010720184R17157000000000000000000000000040000103306   12379        '
