SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3631948,[122] Non preferential tariff quota,0104103000,,01/05/2018 - 31/12/2018,,[01] + 10.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631949,[122] Non preferential tariff quota,0104108000,,01/05/2018 - 31/12/2018,,[01] + 10.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631950,[122] Non preferential tariff quota,0104209000,,01/05/2018 - 31/12/2018,,[01] + 10.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631977,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632139,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631951,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632055,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632029,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632113,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632003,[122] Non preferential tariff quota,0204100000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
