Commodity,Suffix,Start,End,Description,Indents
42702,6000000000,80,1971-12-31 00:00:00,,KNITTED OR CROCHETED FABRICS
42703,6001000000,80,1972-01-01 00:00:00,,"Pile fabrics, including 'long pile' fabrics and terry fabrics, knitted or crocheted"
42704,6001100000,80,1972-01-01 00:00:00,,'Long pile' fabrics
42708,6001210000,10,1972-01-01 00:00:00,,Looped pile fabrics
42711,6001290000,80,1972-01-01 00:00:00,,Of other textile materials
42714,6001910000,10,1972-01-01 00:00:00,,Other
42725,6001990000,80,1972-01-01 00:00:00,,Of other textile materials
42728,6002000000,80,1972-01-01 00:00:00,,"Knitted or crocheted fabrics of a width not exceeding 30|cm, containing by weight 5|% or more of elastomeric yarn or rubber thread, other than those of heading|6001"
42796,6100000000,80,1971-12-31 00:00:00,,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"
42797,6101000000,80,1972-01-01 00:00:00,,"Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading|6103"
42803,6101200000,80,1972-01-01 00:00:00,,Of cotton
42806,6101300000,80,1972-01-01 00:00:00,,Of man-made fibres
42809,6101900000,80,1972-01-01 00:00:00,,Of other textile materials
42812,6102000000,80,1972-01-01 00:00:00,,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading|6104"
42813,6102100000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
42814,6102101000,80,1972-01-01 00:00:00,,"Overcoats, car coats, capes, cloaks and similar articles"
42818,6102200000,80,1972-01-01 00:00:00,,Of cotton
42821,6102300000,80,1972-01-01 00:00:00,,Of man-made fibres
42824,6102900000,80,1972-01-01 00:00:00,,Of other textile materials
42705,6001100010,80,1972-01-01 00:00:00,,Of synthetic fibres
42827,6103000000,80,1972-01-01 00:00:00,,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted"
42837,6103310000,10,1972-01-01 00:00:00,,Jackets and blazers
42841,6103390000,80,1972-01-01 00:00:00,,Of other textile materials
42844,6103410000,10,1972-01-01 00:00:00,,"Trousers, bib and brace overalls, breeches and shorts"
42854,6103490000,80,1972-01-01 00:00:00,,Of other textile materials
42859,6104000000,80,1972-01-01 00:00:00,,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted"
42864,6104190000,80,1972-01-01 00:00:00,,Of other textile materials
42871,6104290000,80,1972-01-01 00:00:00,,Of other textile materials
42874,6104310000,10,1972-01-01 00:00:00,,Jackets and blazers
42878,6104390000,80,1972-01-01 00:00:00,,Of other textile materials
42881,6104410000,10,1972-01-01 00:00:00,,Dresses
42887,6104510000,10,1972-01-01 00:00:00,,Skirts and divided skirts
42892,6104610000,10,1972-01-01 00:00:00,,"Trousers, bib and brace overalls, breeches and shorts"
42902,6104690000,80,1972-01-01 00:00:00,,Of other textile materials
42907,6105000000,80,1972-01-01 00:00:00,,"Men's or boys' shirts, knitted or crocheted"
42834,6103220000,80,1972-01-01 00:00:00,,Of cotton
42909,6105200000,80,1972-01-01 00:00:00,,Of man-made fibres
42912,6105900000,80,1972-01-01 00:00:00,,Of other textile materials
42915,6106000000,80,1972-01-01 00:00:00,,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted"
42918,6106900000,80,1972-01-01 00:00:00,,Of other textile materials
42923,6107000000,80,1972-01-01 00:00:00,,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted"
42924,6107110000,10,1972-01-01 00:00:00,,Underpants and briefs
42930,6107210000,10,1972-01-01 00:00:00,,Nightshirts and pyjamas
42936,6107910000,10,1972-01-01 00:00:00,,Other
42941,6107990000,80,1972-01-01 00:00:00,,Of other textile materials
42944,6108000000,80,1972-01-01 00:00:00,,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted"
42945,6108110000,10,1972-01-01 00:00:00,,Slips and petticoats
42952,6108210000,10,1972-01-01 00:00:00,,Briefs and panties
42958,6108310000,10,1972-01-01 00:00:00,,Nightdresses and pyjamas
42970,6108910000,10,1972-01-01 00:00:00,,Other
42975,6108990000,80,1972-01-01 00:00:00,,Of other textile materials
42978,6109000000,80,1972-01-01 00:00:00,,"T-shirts, singlets and other vests, knitted or crocheted"
42979,6109100000,80,1972-01-01 00:00:00,,Of cotton
42980,6109900000,80,1972-01-01 00:00:00,,Of other textile materials
42984,6110000000,80,1972-01-01 00:00:00,,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted"
43012,6110200000,80,1972-01-01 00:00:00,,Of cotton
43014,6110209100,10,1972-01-01 00:00:00,,Other
43017,6110300000,80,1972-01-01 00:00:00,,Of man-made fibres
43019,6110309100,10,1972-01-01 00:00:00,,Other
43022,6110900000,80,1972-01-01 00:00:00,,Of other textile materials
43024,6110909000,80,1972-01-01 00:00:00,,Of other textile materials
43032,6111000000,80,1972-01-01 00:00:00,,"Babies' garments and clothing accessories, knitted or crocheted"
43036,6111200000,80,1972-01-01 00:00:00,,Of cotton
43039,6111300000,80,1972-01-01 00:00:00,,Of synthetic fibres
43042,6111900000,80,1972-01-01 00:00:00,,Of other textile materials
43047,6112000000,80,1972-01-01 00:00:00,,"Tracksuits, ski suits and swimwear, knitted or crocheted"
43048,6112110000,10,1972-01-01 00:00:00,,Tracksuits
43055,6112310000,10,1972-01-01 00:00:00,,Men's or boys' swimwear
43056,6112310000,80,1972-01-01 00:00:00,,Of synthetic fibres
43059,6112390000,80,1972-01-01 00:00:00,,Of other textile materials
43062,6112410000,10,1972-01-01 00:00:00,,Women's or girls' swimwear
43063,6112410000,80,1972-01-01 00:00:00,,Of synthetic fibres
43066,6112490000,80,1972-01-01 00:00:00,,Of other textile materials
43069,6113000000,80,1972-01-01 00:00:00,,"Garments, made up of knitted or crocheted fabrics of heading|5903, 5906|or 5907"
43072,6114000000,80,1972-01-01 00:00:00,,"Other garments, knitted or crocheted"
43076,6114900000,80,1972-01-01 00:00:00,,Of other textile materials
43077,6115000000,80,1972-01-01 00:00:00,,"Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted"
43099,6116000000,80,1972-01-01 00:00:00,,"Gloves, mittens and mitts, knitted or crocheted"
43100,6116100000,80,1972-01-01 00:00:00,,"Impregnated, coated or covered with plastics or rubber"
43103,6116910000,10,1972-01-01 00:00:00,,Other
43108,6117000000,80,1972-01-01 00:00:00,,"Other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories"
43111,6117800000,80,1972-01-01 00:00:00,,Other accessories
43115,6200000000,80,1971-12-31 00:00:00,,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
43116,6201000000,80,1972-01-01 00:00:00,,"Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, other than those of heading|6203"
43117,6201110000,10,1972-01-01 00:00:00,,"Overcoats, raincoats, car coats, capes, cloaks and similar articles"
43118,6201110000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43121,6201120000,80,1972-01-01 00:00:00,,Of cotton
43122,6201121000,80,1972-01-01 00:00:00,,"Of a weight, per garment, not exceeding 1|kg"
43125,6201129000,80,1972-01-01 00:00:00,,"Of a weight, per garment, exceeding 1|kg"
43128,6201130000,80,1972-01-01 00:00:00,,Of man-made fibres
43129,6201131000,80,1972-01-01 00:00:00,,"Of a weight, per garment, not exceeding 1|kg"
43132,6201139000,80,1972-01-01 00:00:00,,"Of a weight, per garment, exceeding 1|kg"
43136,6201910000,10,1972-01-01 00:00:00,,Other
43138,6201920000,80,1972-01-01 00:00:00,,Of cotton
43142,6201990000,80,1972-01-01 00:00:00,,Of other textile materials
43098,6115990000,80,1972-01-01 00:00:00,,Of other textile materials
43104,6116910000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43145,6202000000,80,1972-01-01 00:00:00,,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, other than those of heading|6204"
43146,6202110000,10,1972-01-01 00:00:00,,"Overcoats, raincoats, car coats, capes, cloaks and similar articles"
43147,6202110000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43151,6202120000,80,1972-01-01 00:00:00,,Of cotton
43152,6202121000,80,1972-01-01 00:00:00,,"Of a weight, per garment, not exceeding 1|kg"
43155,6202129000,80,1972-01-01 00:00:00,,"Of a weight, per garment, exceeding 1|kg"
